item,AED,ARS,AUD,BRL,CAD,CHF,CLP,CNY,COP,CRC,EUR,GBP,HKD,IDR,ILS,INR,JPY,KRW,KWD,KZT,MXN,MYR,NOK,NZD,PEN,PHP,PLN,QAR,RUB,SAR,SGD,THB,TRY,TWD,UAH,USD,UYU,VND,ZAR
Community Case Key 1,925,35499,385,1269,339,235,238000,1700,1100000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,14500,935,360,9500,4550,7700,9100,249,10100,5650000,4250
Community Case Key 2,925,35499,385,1269,339,235,238000,1700,1100000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,14500,935,360,9500,4550,7700,9100,249,10100,5650000,4250
Community Case Key 3 June 2014,925,35499,385,1269,339,235,238000,1700,1100000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,14500,935,360,9500,4550,7700,9100,249,10100,5650000,4250
Community Case Key 4,925,35499,385,1269,339,235,238000,1700,1100000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,14500,935,360,9500,4550,7700,9100,249,10100,5650000,4250
Community Case Key 5,925,35499,385,1269,339,235,238000,1700,1100000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,14500,935,360,9500,4550,7700,9100,249,10100,5650000,4250
Community Case Key 6,925,35499,385,1269,339,235,238000,1700,1100000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,14500,935,360,9500,4550,7700,9100,249,10100,5650000,4250
Community Case Key 7,925,35499,385,1269,339,235,238000,1700,1100000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,14500,935,360,9500,4550,7700,9100,249,10100,5650000,4250
Community Case Key 9,925,35499,385,1269,339,235,238000,1700,1100000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,14500,935,360,9500,4550,7700,9100,249,10100,5650000,4250
Community Sticker Capsule 1 Key June 2014,375,13999,155,499,135,95,94000,700,440000,63000,99,85,760,1519900,350,7900,14200,136000,30,48000,2000,460,1050,175,380,5500,485,359,5800,375,140,3800,1795,3100,3600,99,4000,2250000,1700
E-Sports Weapon Case Key 1,925,35499,385,1269,339,235,238000,1700,1100000,159000,249,215,1930,3799900,885,19800,35500,342000,75,121000,5000,1160,2650,435,950,14000,1225,899,14500,935,360,9500,4550,7700,9100,249,10100,5650000,4250
