USD,99,175,199,249,499,799,999,1499
AED,375,650,750,925,1900,2900,3700,5500
ARS,21249,37499,42699,53499,107499,171999,214999,321999
AUD,140,250,285,355,710,1135,1425,2150
BRL,499,899,999,1269,2549,4099,5099,7649
CAD,135,239,269,339,679,1099,1369,2049
CHF,90,155,175,220,445,715,895,1335
CLP,80000,140000,160000,200000,400000,650000,810000,1210000
CNY,700,1200,1400,1700,3500,5500,6900,10300
COP,455000,800000,915000,1150000,2300000,3650000,4550000,6850000
CRC,53000,94000,107000,134000,270000,430000,535000,805000
EUR,95,165,189,235,475,759,949,1429
GBP,79,139,159,199,399,639,799,1199
HKD,760,1380,1560,1930,3800,6200,7800,11600
IDR,1519900,2699900,3039900,3799900,7599900,12199900,15299900,22999900
ILS,350,620,700,885,1775,2835,3550,5325
INR,7900,13900,15800,19800,39500,63500,79500,119000
JPY,13000,23000,26000,32500,65500,105000,130000,195000
KRW,125000,220000,250000,315000,630000,1010000,1270000,1900000
KWD,30,53,60,75,150,240,300,455
KZT,45000,79000,89000,112000,225000,360000,450000,675000
MXN,1900,3300,3800,4700,9400,15000,18800,28200
MYR,425,750,860,1070,2150,3450,4295,6450
NOK,1000,1750,2000,2500,5000,8000,10000,15000
NZD,155,275,315,389,779,1249,1569,2349
PEN,380,670,760,950,1900,3050,3850,5800
PHP,5500,9800,11200,14000,28000,45000,56000,84000
PLN,440,780,890,1100,2225,3575,4450,6695
QAR,359,639,729,899,1799,2899,3649,5499
RUB,8100,14300,16300,20400,40800,65500,82000,123000
SAR,375,660,750,935,1895,2995,3750,5600
SGD,130,230,265,330,660,1050,1325,1975
THB,3500,6100,6900,8700,17500,28000,35000,52500
TRY,1795,3195,3625,4550,9095,14595,18195,27495
TWD,3100,5500,6100,7700,15300,24600,30800,46200
UAH,3600,6400,7300,9100,18300,29500,36500,55000
USD,99,175,199,249,499,799,999,1499
UYU,4000,7100,8100,10100,20300,32500,40500,61000
VND,2450000,4350000,4950000,6200000,12500000,20000000,25000000,37500000
ZAR,1695,2975,3395,4250,8495,13595,16995,25495
